app,No Tagkey: app0($),app1($),app2($),app3($),app4($),app5($),app6($),app7($),app8($),app9($),app10($),app11($),app12($),app13($),app14($),app15($),app16($),app17($),app18($),app19($),app20($),app21($),app22($),app23($),app24($),app25($),app26($),app27($),app28($),app29($),app30($),app31($),app32($),app33($),app34($),app35($),app36($),app37($),app38($),app39($),app40($),app41($),app42($),app43($),app44($),app45($),app46($),app47($),app48($),app49($),app50($),app51($),app52($),app53($),app54($),app55($),app56($),app57($),app58($),app59($),app60($),app61($),app62($),app63($),app64($),total cost,No Tagkey: app0(hr),app1(hr),app2(hr),app3(hr),app4(hr),app5(hr),app6(hr),app7(hr),app8(hr),app9(hr),app10(hr),app11(hr),app12(hr),app13(hr),app14(hr),app15(hr),app16(hr),app17(hr),app18(hr),app19(hr),app20(hr),app21(hr),app22(hr),app23(hr),app24(hr),app25(hr),app26(hr),app27(hr),app28(hr),app29(hr),app30(hr),app31(hr),app32(hr),app33(hr),app34(hr),app35(hr),app36(hr),app37(hr),app38(hr),app39(hr),app40(hr),app41(hr),app42(hr),app43(hr),app44(hr),app45(hr),app46(hr),app47(hr),app48(hr),app49(hr),app50(hr),app51(hr),app52(hr),app53(hr),app54(hr),app55(hr),app56(hr),app57(hr),app58(hr),app59(hr),app60(hr),app61(hr),app62(hr),app63(hr),app64(hr),total usage
app Total,135513.489,94238.05981,94131.27045,62651.45037,42679.55741,33113.44964,13521.83254,10916.73194,9518.614093,8659.948808,7346.894086,6722.321242,6675.009333,5642.377189,2228.43478,2212.739228,1388.252407,1314.239498,1240.222203,1075.21085,942.4883466,873.463323,843.3827412,809.1461539,529.7370143,529.0250016,517.7209235,465.4162171,459.4346604,381.2823891,343.2449341,292.8358571,250.2159617,216.8096433,208.1804,197.6644547,186.3176869,126.4877143,125.8412698,115.9338464,113.4284422,109.7755342,93.01588321,81.34806945,76.54221139,76.01043115,74.20033438,71.1220393,62.46078685,57.126013,55.32096854,47.26821313,39.43383881,38.65826687,37.72556171,34.72998776,28.46888915,21.56663138,10.61082062,10.06098105,8.975928571,7.621883086,5.375889531,3.15880338,0.4287762004,550369.1686,451283.4513,50943.15315,197493.6995,21215.81619,38248.71329,10224.54841,7485.082976,12526.35528,78256.53337,31763.72571,11105.04076,16328.64603,5628.806492,14340.603,4485.826151,30295.48099,407.1121429,2456.949921,8228.291111,4193.849167,4430.854425,7445.760437,1940.316825,7135.724643,4343.725119,3103.943809,3211.588959,4700.838294,6154.416825,3464.399047,835.0892857,2560.714286,1105.642857,2100.06373,1560.194365,756.4070637,3119.428571,148.2857143,1837.285714,2019.729683,1371.714286,2044.571429,1652.760833,478.5180556,1113.605873,4845.377817,1004.097738,848.6282937,1042.987619,1018.285714,461,266.2921031,743.94,533.591389,407.2425,412.9947223,611.1428571,107,253.1455953,184,1261.571429,190.7142857,55.99884929,153.3492459,8.953095286,1079957.578
2017-08-01,249.4008112,50.75181462,72.66926518,0,0,338.7702857,0,31.8199517,23.5752703,22.37505854,17.49131593,0,75.19009522,0,0.36,1.331494174,11.69142857,1.824,8.520135681,0.5099156957,1.830977099,2.431999954,0,4.064533303,0,2.729142857,2.034039706,2.021578479,1.265747087,0.9473228557,0.08477827143,0,4.604202416,1.552095223,4.652860427,0,0.6657470871,2.924571429,0.4009142743,0.3222857143,0.6694682771,0.3336178686,0.1884285714,0,0.3485473471,0.2242285714,0.2651428457,0.26514288,0.2219156957,0.1137333643,0.1367346971,0.6822857143,0.2057142857,0,0.72,0.2651428457,0,0.72,0.1357714286,0,0.1121142857,0.1611428571,0,0,0,944.5827703,1068.428571,154.2857143,209.7142857,0,0,108,0,38.71428571,210.7142857,85.71428571,27.42857143,0,37.71428571,0,3.428571429,20.57142857,3.428571429,3.428571429,36,6.857142857,13,20.57142857,0,30.85714286,0,13.71428571,10.28571429,20.57142857,13.71428571,9.714285714,0.4285714286,0,20.57142857,13.85714286,15.42857143,0,10.28571429,3.428571429,6.857142857,6.857142857,6.857142857,6.285714286,4.142857143,0,5,13.71428571,3.428571429,3.428571429,3.428571429,2.142857143,1.285714286,3.428571429,6.857142857,0,3.428571429,3.428571429,0,3.428571429,3.428571429,0,6.857142857,3.428571429,0,0,0,2308.571429
2017-08-02,256.7301589,57.48621378,71.46481566,0,0,328.6457143,0,32.07013718,28.19000611,22.37521059,17.79364697,0,75.19009522,0,0.36,1.323153669,11.69142857,1.824,8.511249874,0.5100677486,2.853780087,2.431999954,0,4.064533303,0,2.729142857,2.034023726,2.022338743,1.266203246,1.76797956,0.05248690714,0,4.604178446,1.54643808,4.662354446,0,0.6662032457,2.924571429,0.4009142743,0.3222857143,0.6694522971,0.5337662571,0.5211428571,0,0.3985844443,0.2242285714,0.2651428457,0.26514288,0.2220677486,0.2135065029,0.3026922214,0.6822857143,0.2057142857,0,0.72,0.2651428457,0,0.72,0.1357714286,0,0.1121142857,0.1611428571,0,0,0,955.1332306,1099.714286,175.4285714,205.6428571,0,0,106.2857143,0,41.57142857,236.2857143,85.71428571,28.71428571,0,37.71428571,0,3.428571429,20.42857143,3.428571429,3.428571429,35.85714286,6.857142857,19.57142857,20.57142857,0,30.85714286,0,13.71428571,10.28571429,20.57142857,13.71428571,13.71428571,0.4285714286,0,20.57142857,13.71428571,15.57142857,0,10.28571429,3.428571429,6.857142857,6.857142857,6.857142857,8.571428571,10.28571429,0,5.571428571,13.71428571,3.428571429,3.428571429,3.428571429,3.428571429,2.142857143,3.428571429,6.857142857,0,3.428571429,3.428571429,0,3.428571429,3.428571429,0,6.857142857,3.428571429,0,0,0,2406.357143
2017-08-03,261.3909423,54.80009882,70.50654774,0,0,328.6457143,0,31.7248017,25.76109173,22.37559343,17.74446023,0,75.22383114,0,0.36,1.325434723,11.69142857,1.824,8.493633369,0.5104505829,2.4504396,2.431879406,0,4.030666034,0,2.729142857,2.034022831,2.024252914,1.267351749,1.579787311,0.02005847143,0,4.604177041,1.546387131,4.700019746,0,0.6673517486,2.924571429,0.4009035086,0.3222857143,0.6694513371,0.2575139429,0.5211428571,0,0.3295213657,0.2242285714,0.2651428457,0.26514288,0.2224505829,0.1030055771,0.2819365257,0.6822857143,0.2057142857,0,0.72,0.2651428457,0,0.72,0.1357606286,0,0.1121142857,0.1611428571,0,0,0,952.2530232,1134.714286,160,206.9285714,0,0,106.2857143,0,38,225.4285714,85.71428571,29,0,38,0,3.428571429,20.42857143,3.428571429,3.428571429,35.57142857,6.857142857,17.71428571,20.57142857,0,30.57142857,0,13.71428571,10.28571429,20.57142857,13.71428571,13.71428571,0.1428571429,0,20.57142857,13.71428571,16.14285714,0,10.28571429,3.428571429,6.857142857,6.857142857,6.857142857,5.714285714,10.28571429,0,4.857142857,13.71428571,3.428571429,3.428571429,3.428571429,2.285714286,2.285714286,3.428571429,6.857142857,0,3.428571429,3.428571429,0,3.428571429,3.428571429,0,6.857142857,3.428571429,0,0,0,2406.642857
2017-08-04,262.5558212,56.00545136,72.65375046,0,0,328.6457143,0,31.82675244,26.54613678,22.37559343,17.4625237,0,75.19005504,0,0.36,1.334703497,11.69142857,1.824,8.549246014,0.5104505829,1.745598286,2.431879406,0,4.064442137,0,2.729142857,2.034022829,2.024252914,1.267351749,0.8749459971,0.02005847143,0,4.604177041,1.546387131,4.6444071,0,0.6673517486,2.924571429,0.4009035086,0.3222857143,0.6694513371,0.2575139429,0.5211428571,0,0.3295213657,0.2242285714,0.2651428457,0.26514288,0.2224505829,0.08369203143,0.1409682629,0.6822857143,0.2057142857,0,0.72,0.2651428457,0,0.72,0.1357606286,0,0.0264,0.1611428571,0,0,0,955.7291067,1128.857143,165.1428571,213.6428571,0,0,106.2857143,0,38.14285714,229.7142857,85.71428571,26.71428571,0,37.71428571,0,3.428571429,20.57142857,3.428571429,3.428571429,36.42857143,6.857142857,12,20.57142857,0,30.85714286,0,13.71428571,10.28571429,20.57142857,13.71428571,8,0.1428571429,0,20.57142857,13.71428571,15.28571429,0,10.28571429,3.428571429,6.857142857,6.857142857,6.857142857,5.714285714,10.28571429,0,4.857142857,13.71428571,3.428571429,3.428571429,3.428571429,1.857142857,1.142857143,3.428571429,6.857142857,0,3.428571429,3.428571429,0,3.428571429,3.428571429,0,3.428571429,3.428571429,0,0,0,2398.5
2017-08-05,261.8698401,56.34927646,71.59456226,0,0,327.6714286,0,31.92332016,27.44783593,22.37559343,17.76208126,0,74.79316699,0,0.36,1.334703497,11.69142857,1.824,8.53997724,0.5104505829,2.400961527,2.431879406,0,4.047554086,0,2.729142857,2.034022831,2.024252914,1.267351749,1.61672189,0.02005847143,0,4.604177036,1.552043824,4.662944649,0,0.6673517486,2.924571429,0.4009035086,0.3222857143,0.6694513371,0.3347681257,0.5211428571,0,0.3488349114,0.2242285714,0.2651428457,0.26514288,0.2224505829,0.1223191229,0.2643154929,0.6822857143,0.2057142857,0,0.72,0.2651428457,0,0.72,0.1357606286,0,0.0264,0.1611428571,0,0,0,955.9081318,1127.571429,171.5714286,207.1071429,0,0,106.1428571,0,40.28571429,241.1428571,85.71428571,29.14285714,0,37.42857143,0,3.428571429,20.57142857,3.428571429,3.428571429,36.28571429,6.857142857,17.85714286,20.57142857,0,30.71428571,0,13.71428571,10.28571429,20.57142857,13.71428571,14.28571429,0.1428571429,0,20.57142857,13.85714286,15.57142857,0,10.28571429,3.428571429,6.857142857,6.857142857,6.857142857,7.428571429,10.28571429,0,5.285714286,13.71428571,3.428571429,3.428571429,3.428571429,2.714285714,2.142857143,3.428571429,6.857142857,0,3.428571429,3.428571429,0,3.428571429,3.428571429,0,3.428571429,3.428571429,0,0,0,2428.964286
2017-08-06,261.5600251,56.23034238,71.92578825,0,0,328.6457143,0,31.89113092,27.21121647,22.37559343,17.69159713,0,75.19005504,0,0.36,1.334703497,11.69142857,1.824,8.521439691,0.5104505829,2.211875501,2.448767457,0,4.047554086,0,2.729142857,2.034022834,2.024252914,1.267351749,1.434073713,0.02005847143,0,4.60417704,1.552043824,4.672213423,0,0.6673517486,2.924571429,0.4009035086,0.3222857143,0.6694513371,0.3090167314,0.5211428571,0,0.3423970629,0.2242285714,0.2651428457,0.26514288,0.2224505829,0.1094434257,0.2290734271,0.6822857143,0.2057142857,0,0.72,0.2651428457,0,0.72,0.1357606286,0,0.0264,0.1611428571,0,0,0,956.3980677,1126.142857,169.4285714,209,0,0,106.2857143,0,39.57142857,238,85.71428571,28.57142857,0,37.71428571,0,3.428571429,20.57142857,3.428571429,3.428571429,36,6.857142857,16.14285714,20.71428571,0,30.71428571,0,13.71428571,10.28571429,20.57142857,13.71428571,12.71428571,0.1428571429,0,20.57142857,13.85714286,15.71428571,0,10.28571429,3.428571429,6.857142857,6.857142857,6.857142857,6.857142857,10.28571429,0,5.142857143,13.71428571,3.428571429,3.428571429,3.428571429,2.428571429,1.857142857,3.428571429,6.857142857,0,3.428571429,3.428571429,0,3.428571429,3.428571429,0,3.428571429,3.428571429,0,0,0,2418.714286
2017-08-07,262.0910488,55.78780525,72.08435982,0,0,330.8391429,0,31.75699094,26.60279481,22.37559343,17.621113,0.06242857143,75.17316699,0,0.36,1.334703497,11.69142857,1.824,8.502902143,0.5104505829,1.934684311,2.448767457,0,4.047554086,0,2.729142857,2.034022834,2.024252914,1.267351749,1.233804503,0,0,4.604177039,1.552043824,4.700019746,0,0.6673517486,2.924571429,0.4009035086,0.3222857143,0.6694513371,0.2832653371,0.5211428571,0,0.3359592143,0.2242285714,0.2651428457,0.26514288,0.2224505829,0.1030055771,0.1762103286,0.6822857143,0.2057142857,0,0.72,0.2651428457,0,0.72,0.1357606286,0,0.0264,0.1611428571,0,0,0,957.4913089,1127.142857,165.7142857,211.8571429,0,0,108.8571429,0,38.71428571,233.1428571,85.71428571,28,2.714285714,37.57142857,0,3.428571429,20.57142857,3.428571429,3.428571429,35.71428571,6.857142857,13.71428571,20.71428571,0,30.71428571,0,13.71428571,10.28571429,20.57142857,13.71428571,11,0,0,20.57142857,13.85714286,16.14285714,0,10.28571429,3.428571429,6.857142857,6.857142857,6.857142857,6.285714286,10.28571429,0,5,13.71428571,3.428571429,3.428571429,3.428571429,2.285714286,1.428571429,3.428571429,6.857142857,0,3.428571429,3.428571429,0,3.428571429,3.428571429,0,3.428571429,3.428571429,0,0,0,2412.285714
2017-08-08,264.8146446,55.41713205,72.6210854,0,0,331.5702857,0,32.48650016,26.49261509,22.37606198,17.72889057,0.07885714286,75.15628563,0,0.36,1.337514823,11.69142857,1.824,8.541224634,0.5109191371,2.032976476,2.431899497,0,4.064457331,0,2.729142857,2.034019871,2.026595686,1.268757411,1.139658694,0.04011694286,0,4.604172613,1.552052316,4.672843594,0,0.6687574114,2.924571429,0.4009053029,0.3222857143,0.6694483886,0.2833981186,0.5211428571,0,0.3359924086,0.2242285714,0.2651428457,0.26514288,0.2229191371,0.1140874971,0.1958554829,0.6822857143,0.2057142857,0,0.72,0.2651428457,0,0.72,0.1357624286,0,0.0264,0.1611428571,0,0,0,961.934465,1136.142857,160.5714286,214.9642857,0,0,109.7142857,0,38.14285714,230.4285714,85.71428571,27.57142857,3.428571429,37.42857143,0,3.428571429,20.57142857,3.428571429,3.428571429,36.28571429,6.857142857,13.85714286,20.57142857,0,30.85714286,0,13.71428571,10.28571429,20.57142857,13.71428571,10,0.2857142857,0,20.57142857,13.85714286,15.71428571,0,10.28571429,3.428571429,6.857142857,6.857142857,6.857142857,5.142857143,10.28571429,0,4.714285714,13.71428571,3.428571429,3.428571429,3.428571429,2,1.571428571,3.428571429,6.857142857,0,3.428571429,3.428571429,0,3.428571429,3.428571429,0,3.428571429,3.428571429,0,0,0,2414.964286
2017-08-09,266.3791621,58.06592382,75.87089911,0,0,329.3768571,0,37.92605582,26.96973974,22.38032061,19.07973535,0.07885714286,51.94868253,0,0.3600756257,1.363066564,11.69142857,1.824,8.556944161,0.5151777614,2.038572754,2.760277744,0,4.1194222,0,2.729142857,2.038761877,2.0478888,1.281533281,1.231769286,0.06327494429,0,4.611285673,1.579539671,4.727244676,0,0.6815332829,2.924571429,0.4009142743,0.3222857143,0.6741904486,0.4906654457,0.5211428571,0,0.3765527943,0.2242285714,0.2651428457,0.26514288,0.22717776,0.1813297471,0.1807505829,0.6822857143,0.5185714286,0,0.72,0.2651428457,0.2764285714,0.72,0.1357714286,0,0.0264,0.1611428571,0,0,0,952.8570113,1141.428571,168.1428571,214.0357143,0,0,107.1428571,0,47,238.1428571,85.71428571,27.71428571,3.428571429,35.14285714,0,3.428571429,20.57142857,3.428571429,3.428571429,36.14285714,6.857142857,14.28571429,22.42857143,0,30.85714286,0,13.71428571,10.28571429,20.57142857,13.71428571,10.71428571,0.4285714286,0,20.57142857,13.85714286,16.42857143,0,10.28571429,3.428571429,6.857142857,6.857142857,6.857142857,8.142857143,10.28571429,0,5.285714286,13.71428571,3.428571429,3.428571429,3.428571429,3,1.428571429,3.428571429,8.571428571,0,3.428571429,3.428571429,2.714285714,3.428571429,3.428571429,0,3.428571429,3.428571429,0,0,0,2451.321429
